version	ruby	concurrency	scenario	phase	allocations
v1.2.38	3.3	off	sparse_100	render	16835
v1.2.38	3.3	off	include_1	resolve	3848
v1.2.38	3.3	off	include_1	render	27574
v1.2.38	3.3	off	include_2	resolve	4584
v1.2.38	3.3	off	include_2	render	36668
v1.2.38	3.3	off	include_3	resolve	7307
v1.2.38	3.3	off	include_3	render	48823
v1.2.38	3.3	off	stats_100	resolve	1170
v1.2.38	3.3	off	stats_100	render	18238
v1.2.38	3.3	on	flat_10	resolve	255
v1.2.38	3.3	on	flat_10	render	2017
v1.2.38	3.3	on	flat_100	resolve	1153
v1.2.38	3.3	on	flat_100	render	18217
v1.2.38	3.3	on	sparse_100	resolve	1169
v1.2.38	3.3	on	sparse_100	render	16835
v1.2.38	3.3	on	include_1	resolve	3895
v1.2.38	3.3	on	include_1	render	27621
v1.2.38	3.3	on	include_2	resolve	4678
v1.2.38	3.3	on	include_2	render	36762
v1.2.38	3.3	on	include_3	resolve	7448
v1.2.38	3.3	on	include_3	render	48964
v1.2.38	3.3	on	stats_100	resolve	1170
v1.2.38	3.3	on	stats_100	render	18238
v1.2.38	4.0	off	flat_10	resolve	247
v1.2.38	4.0	off	flat_10	render	1967
v1.2.38	4.0	off	flat_100	resolve	1145
v1.2.38	4.0	off	flat_100	render	17807
v1.2.38	4.0	off	sparse_100	resolve	1158
v1.2.38	4.0	off	sparse_100	render	16422
v1.2.38	4.0	off	include_1	resolve	3731
v1.2.38	4.0	off	include_1	render	26455
v1.2.38	4.0	off	include_2	resolve	4245
v1.2.38	4.0	off	include_2	render	35311
v1.2.38	4.0	off	include_3	resolve	6947
v1.2.38	4.0	off	include_3	render	47045
v1.2.38	4.0	off	stats_100	resolve	1159
v1.2.38	4.0	off	stats_100	render	17825
v1.2.38	4.0	on	flat_10	resolve	247
v1.2.38	4.0	on	flat_10	render	1967
v1.2.38	4.0	on	flat_100	resolve	1145
v1.2.38	4.0	on	flat_100	render	17807
v1.2.38	4.0	on	sparse_100	resolve	1158
v1.2.38	4.0	on	sparse_100	render	16422
v1.2.38	4.0	on	include_1	resolve	3774
v1.2.38	4.0	on	include_1	render	26498
v1.2.38	4.0	on	include_2	resolve	4331
v1.2.38	4.0	on	include_2	render	35397
v1.2.38	4.0	on	include_3	resolve	7076
v1.2.38	4.0	on	include_3	render	47174
v1.2.38	4.0	on	stats_100	resolve	1159
v1.2.38	4.0	on	stats_100	render	17825
v1.2.39	3.3	off	flat_10	resolve	255
v1.2.39	3.3	off	flat_10	render	2017
v1.2.39	3.3	off	flat_100	resolve	1153
v1.2.39	3.3	off	flat_100	render	18217
v1.2.39	3.3	off	sparse_100	resolve	1169
v1.2.39	3.3	off	sparse_100	render	16835
v1.2.39	3.3	off	include_1	resolve	3848
v1.2.39	3.3	off	include_1	render	27574
v1.2.39	3.3	off	include_2	resolve	4584
v1.2.39	3.3	off	include_2	render	36668
v1.2.39	3.3	off	include_3	resolve	7307
v1.2.39	3.3	off	include_3	render	48823
v1.2.39	3.3	off	stats_100	resolve	1170
v1.2.39	3.3	off	stats_100	render	18238
v1.2.39	3.3	on	flat_10	resolve	255
v1.2.39	3.3	on	flat_10	render	2017
v1.2.39	3.3	on	flat_100	resolve	1153
v1.2.39	3.3	on	flat_100	render	18217
v1.2.39	3.3	on	sparse_100	resolve	1169
v1.2.39	3.3	on	sparse_100	render	16835
v1.2.39	3.3	on	include_1	resolve	3895
v1.2.39	3.3	on	include_1	render	27621
v1.2.39	3.3	on	include_2	resolve	4678
v1.2.39	3.3	on	include_2	render	36762
v1.2.39	3.3	on	include_3	resolve	7448
v1.2.39	3.3	on	include_3	render	48964
v1.2.39	3.3	on	stats_100	resolve	1170
v1.2.39	3.3	on	stats_100	render	18238
v1.2.39	4.0	off	flat_10	resolve	247
v1.2.39	4.0	off	flat_10	render	1967
v1.2.39	4.0	off	flat_100	resolve	1145
v1.2.39	4.0	off	flat_100	render	17807
v1.2.39	4.0	off	sparse_100	resolve	1158
v1.2.39	4.0	off	sparse_100	render	16422
v1.2.39	4.0	off	include_1	resolve	3731
v1.2.39	4.0	off	include_1	render	26455
v1.2.39	4.0	off	include_2	resolve	4245
v1.2.39	4.0	off	include_2	render	35311
v1.2.39	4.0	off	include_3	resolve	6947
v1.2.39	4.0	off	include_3	render	47045
v1.2.39	4.0	off	stats_100	resolve	1159
v1.2.39	4.0	off	stats_100	render	17825
v1.2.39	4.0	on	flat_10	resolve	247
v1.2.39	4.0	on	flat_10	render	1967
v1.2.39	4.0	on	flat_100	resolve	1145
v1.2.39	4.0	on	flat_100	render	17807
v1.2.39	4.0	on	sparse_100	resolve	1158
v1.2.39	4.0	on	sparse_100	render	16422
v1.2.39	4.0	on	include_1	resolve	3774
v1.2.39	4.0	on	include_1	render	26498
v1.2.39	4.0	on	include_2	resolve	4331
v1.2.39	4.0	on	include_2	render	35397
v1.2.39	4.0	on	include_3	resolve	7076
v1.2.39	4.0	on	include_3	render	47174
v1.2.39	4.0	on	stats_100	resolve	1159
v1.2.39	4.0	on	stats_100	render	17825
v1.2.40	3.3	off	flat_10	resolve	255
v1.2.40	3.3	off	flat_10	render	2017
v1.2.40	3.3	off	flat_100	resolve	1153
v1.2.40	3.3	off	flat_100	render	18217
v1.2.40	3.3	off	sparse_100	resolve	1169
v1.2.40	3.3	off	sparse_100	render	16835
v1.2.40	3.3	off	include_1	resolve	3848
v1.2.40	3.3	off	include_1	render	27574
v1.2.40	3.3	off	include_2	resolve	4584
v1.2.40	3.3	off	include_2	render	36668
v1.2.40	3.3	off	include_3	resolve	7307
v1.2.40	3.3	off	include_3	render	48823
v1.2.40	3.3	off	stats_100	resolve	1170
v1.2.40	3.3	off	stats_100	render	18238
v1.2.40	3.3	on	flat_10	resolve	255
v1.2.40	3.3	on	flat_10	render	2017
v1.2.40	3.3	on	flat_100	resolve	1153
v1.2.40	3.3	on	flat_100	render	18217
v1.2.40	3.3	on	sparse_100	resolve	1169
v1.2.40	3.3	on	sparse_100	render	16835
v1.2.40	3.3	on	include_1	resolve	3895
v1.2.40	3.3	on	include_1	render	27621
v1.2.40	3.3	on	include_2	resolve	4678
v1.2.40	3.3	on	include_2	render	36762
v1.2.40	3.3	on	include_3	resolve	7448
v1.2.40	3.3	on	include_3	render	48964
v1.2.40	3.3	on	stats_100	resolve	1170
v1.2.40	3.3	on	stats_100	render	18238
v1.2.40	4.0	off	flat_10	resolve	247
v1.2.40	4.0	off	flat_10	render	1967
v1.2.40	4.0	off	flat_100	resolve	1145
v1.2.40	4.0	off	flat_100	render	17807
v1.2.40	4.0	off	sparse_100	resolve	1158
v1.2.40	4.0	off	sparse_100	render	16422
v1.2.40	4.0	off	include_1	resolve	3731
v1.2.40	4.0	off	include_1	render	26455
v1.2.40	4.0	off	include_2	resolve	4245
v1.2.40	4.0	off	include_2	render	35311
v1.2.40	4.0	off	include_3	resolve	6947
v1.2.40	4.0	off	include_3	render	47045
v1.2.40	4.0	off	stats_100	resolve	1159
